word1,word2,count,Cn1,Prob
battl,supernatur,1,1,0.250079533
bay,ray,1,1,0.2502386
bayer,johnson,1,1,0.250159067
baylor,defens,1,2,0.1254772
baylor,happi,1,2,0.1254772
baysid,place,1,1,0.251033934
bc,can,1,1,0.254294804
beach,girl,1,3,0.083890067
beach,holiday,1,3,0.0834924
beach,weather,1,3,0.0834924
bean,corn,1,1,0.250079533
bear,host,1,1,0.2502386
beat,cancer,1,6,0.0417462
beat,cool,1,6,0.0419848
beat,find,1,6,0.042700601
beat,odd,1,6,0.041825733
beat,rapid,1,6,0.0417462
beat,wise,1,6,0.041905267
beauti,amaz,1,7,0.036111953
beauti,angri,1,7,0.035873353
beauti,brainstorm,1,7,0.035793819
beauti,contest,1,7,0.035873353
beauti,like,1,7,0.04096349
beauti,notbebul,1,7,0.035793819
beauti,ring,1,7,0.035873353
becam,hot,1,1,0.250397667
beckon,bowi,1,1,0.250079533
becom,case,1,6,0.0419848
becom,disabl,1,6,0.0417462
becom,just,1,6,0.045802404
becom,pilot,1,6,0.041905267
becom,respons,1,6,0.0422234
becom,role,1,6,0.042064334
bed,furnitur,1,5,0.0502386
bed,hang,1,5,0.050397667
bed,kept,1,5,0.050318134
bed,night,1,5,0.051033934
bed,sofa,1,5,0.050159067
bedminst,select,1,1,0.2504772
bedroom,lime,1,1,0.250159067
beef,spo,1,1,0.2502386
beeh,mike,1,1,0.250318134
beer,bike,1,1,0.250159067
beg,read,1,2,0.125556734
beg,someth,1,2,0.125715801
began,argu,1,4,0.062579533
began,frantic,1,4,0.062579533
began,tri,1,4,0.064011135
began,write,1,4,0.063295334
begin,believ,1,5,0.050874867
begin,deliber,1,5,0.050079533
begin,just,1,5,0.054135737
begin,soon,1,5,0.050397667
begin,view,1,5,0.0502386
begun,work,1,1,0.252386002
behav,like,1,1,0.255249205
behaviour,crime,1,1,0.250079533
behind,eight,1,7,0.035873353
behind,everi,1,7,0.03674822
behind,eye,1,7,0.035873353
behind,flip,1,7,0.035873353
behind,let,1,7,0.037623087
behind,week,1,7,0.037623087
behind,year,1,7,0.037861688
belief,respect,1,1,0.2502386
believ,acus,1,12,0.020912867
believ,even,1,12,0.022105868
believ,everyth,1,12,0.021390067
believ,fail,1,12,0.021151467
believ,god,1,12,0.021390067
believ,heaven,1,12,0.021071934
believ,prefer,1,12,0.021151467
believ,sale,1,12,0.020912867
believ,school,1,12,0.021867268
believ,threat,1,12,0.0209924
believ,tri,1,12,0.022344468
believ,warrant,1,12,0.0209924
bellevu,listen,1,1,0.2504772
belong,one,1,1,0.253897137
belov,cantab,1,1,0.250079533
ben,inspir,1,1,0.2504772
benefit,can,1,5,0.054294804
benefit,church,1,5,0.050397667
benefit,environ,1,5,0.050318134
benefit,good,1,5,0.052386002
benefit,star,1,5,0.050556734
benjamin,netanyahu,1,1,0.250079533
benni,gantz,1,1,0.250079533
bent,feet,1,2,0.125318134
bent,upper,1,2,0.125079533
benyon,leicestershir,1,1,0.250079533
berat,forget,1,1,0.250397667
bergen,essex,1,1,0.250079533
berri,chiller,1,1,0.250079533
best,buy,1,9,0.028175445
best,movi,1,9,0.028254978
best,option,1,9,0.027857311
best,possibl,1,9,0.028175445
best,record,1,9,0.028175445
best,snow,1,9,0.028016378
best,time,1,9,0.031674915
best,way,1,9,0.029209379
best,yet,1,9,0.028175445
bestfriend,just,1,1,0.254135737
bestman,duck,1,2,0.125159067
bestman,saw,1,2,0.125397667
better,actin,1,8,0.031329533
better,craccc,1,8,0.031329533
better,first,1,8,0.033795069
better,get,1,8,0.035306204
better,softwar,1,8,0.031409067
better,song,1,8,0.031886267
better,watch,1,8,0.032045334
better,word,1,8,0.031647667
beyonc,blakeman,1,1,0.250079533
beyond,frustrat,1,4,0.062659067
beyond,idea,1,4,0.0629772
beyond,sea,1,4,0.062659067
beyond,world,1,4,0.063772534
bff,wed,1,1,0.250556734
bi,h,1,6,0.041799222
bi,hday,5,6,0.708359844
bias,gameplay,1,1,0.250079533
big,chunk,1,4,0.062659067
big,pa,1,4,0.065045069
big,payout,1,4,0.062579533
big,wors,1,4,0.062818134
bigger,person,1,1,0.250636267
biggest,blow,1,4,0.062579533
biggest,fan,1,4,0.062659067
biggest,suppo,1,4,0.063056734
biggest,wed,1,4,0.063056734
bike,cross,1,2,0.125318134
bike,pleas,1,2,0.125397667
bill,absolut,1,8,0.0314886
bill,budget,1,8,0.031409067
bill,keep,1,8,0.032443001
bill,littl,1,8,0.032363468
bill,retreat,1,8,0.031329533
bill,salter,1,8,0.031329533
bill,sell,1,8,0.031409067
bill,sure,1,8,0.031886267
bin,laden,2,2,0.625039767
biomed,center,1,1,0.250397667
